time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
5.262,-0.03986697409234623,-0.1833873273490912,-0.1436718124956284,0.11292058019964557,0.05013184703785547,-0.16427787267954613,-0.02179049220297798,-0.12217976145225055,0.05308828615582165,0.10530662830880086,0.10029614980481778,-0.28038585019226686
5.264,-0.05066423065880254,-0.1671882344140135,-0.11651027269925994,0.11016806596363894,0.030757787482221022,-0.14260712273542164,-0.009671845535430228,-0.10014221865758054,0.06425242081166228,0.12137731287520455,0.11538560079458467,-0.31907870534920457
5.266,-0.05503511259847787,-0.15682687386052024,-0.10172759463179963,0.10740502040196125,0.021670835370862437,-0.1309361871179062,0.006052538157502975,-0.08433248598517598,0.07309840337499286,0.12770782963621027,0.12153379876076731,-0.3563912323207603
5.268,-0.05389703394756759,-0.16208151102977217,-0.10827497821710902,0.11000058565549921,0.026720008004551814,-0.13768182267311277,0.019463963072921895,-0.08303719482403864,0.07872185190075578,0.12164020115311501,0.11708818897709049,-0.3877385786862673
5.27,-0.04806382838354174,-0.1769870090990633,-0.12927536947500712,0.11489150010811616,0.04073528388658585,-0.15553734782524137,0.026240088697618666,-0.08930097593716639,0.08042617364813538,0.1096802194906687,0.10884004035245011,-0.41222513434853675
5.272,-0.035611234766394204,-0.18756083167121212,-0.15242825989784334,0.11383077392045671,0.05774353881290329,-0.1713370902989059,0.026391291861903688,-0.09151375314054523,0.07915116954069977,0.10077955003484919,0.10436409281311096,-0.43310580667997045
5.274,-0.01856463707866724,-0.18756027110750303,-0.16940757385261082,0.10489169754270762,0.07346896542196653,-0.17861692782751695,0.02458649978017048,-0.0871768102005315,0.07886655065433054,0.0995830565263505,0.10729096863161304,-0.4517040378940213
5.276,-0.005674097763317787,-0.18330769763081695,-0.17804967010974934,0.09596625677201102,0.08384298911087663,-0.18028201283877915,0.026488246736748797,-0.08170849324890159,0.08270321155071021,0.10539098172826529,0.11706631767393687,-0.46366000493165643
5.278,-0.002458114178161718,-0.18228570275911443,-0.18042198147586894,0.09385585105977692,0.08708971413792786,-0.1811128871065138,0.0323183520978685,-0.07827461874084506,0.0889722319798869,0.11459884632771666,0.1282508997227271,-0.46519911478139137
5.28,-0.004381316341838465,-0.18298624087071458,-0.17922441195171585,0.09556425013221924,0.08573551735533361,-0.18112860300526423,0.03702112341344627,-0.07487701765465278,0.09475483611626126,0.12400259499934087,0.1343367189112986,-0.4602125055546042
5.282,-0.00530495552744665,-0.1800544323018434,-0.17503301204874316,0.09486158216601892,0.08292303133056045,-0.1776045117529335,0.039612894926999216,-0.06866034636027384,0.10144170124441503,0.13335729992049086,0.1366815585927162,-0.45647751960596167
